                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 2.1268,                 2.7298,                  1.849,                0.18988,                 0.1744,                0.16763,                0.08805,                 1.8804,                  2.436,                 1.7773,             0.00062573,             0.00062573,             0.00062573
                     34,                 2.0835,                 2.6228,                 1.8442,                0.25919,                0.15001,                0.14994,                0.07346,                   1.92,                 2.5028,                 1.8532,             0.00062444,             0.00062444,             0.00062444
                     35,                 2.0895,                 2.5684,                 1.7864,                0.23571,                0.17185,                0.17214,                0.09559,                 1.8281,                 2.4398,                 1.7606,             0.00062315,             0.00062315,             0.00062315
                     36,                 2.0328,                 2.5031,                 1.7425,                0.20417,                0.21367,                0.18379,                0.10305,                 1.7931,                 2.3203,                 1.7096,             0.00062186,             0.00062186,             0.00062186
                     37,                 1.9948,                 2.4207,                 1.6905,                0.19627,                0.19941,                0.17212,                0.09182,                 1.7905,                 2.3238,                 1.7053,             0.00062057,             0.00062057,             0.00062057
                     38,                 1.9857,                 2.3751,                  1.707,                 0.2626,                0.17064,                0.19054,                  0.102,                 1.7445,                 2.3958,                 1.7074,             0.00061928,             0.00061928,             0.00061928
                     39,                 2.0244,                 2.4243,                 1.7006,                0.22357,                0.30054,                0.21346,                0.11384,                 1.7424,                 2.1776,                 1.6652,             0.00061799,             0.00061799,             0.00061799
                     40,                 1.9017,                 2.3342,                 1.6472,                0.26763,                0.30582,                0.23291,                0.12976,                 1.6841,                 2.0883,                 1.6383,              0.0006167,              0.0006167,              0.0006167
                     41,                 1.8791,                 2.3011,                 1.6333,                0.27615,                0.31928,                0.22689,                0.12807,                  1.659,                  2.079,                 1.6034,             0.00061541,             0.00061541,             0.00061541
                     42,                  1.833,                 2.3122,                 1.6624,                0.32699,                0.34373,                0.25225,                0.13722,                 1.7015,                 2.0807,                  1.625,             0.00061412,             0.00061412,             0.00061412
